BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,Avg_S_len,Flesch,W_count,Noun_Cnt
pg16720,106.3211915069058,102.39811184622505,121.16795434503769,114.9125659853508,114.86366308588529,105.4255776152328,7025,19.210960854092527,69.35,134957,485
pg16730,108.66215728715729,109.57673992673993,102.8650578277444,108.42966513204608,111.98576719576721,102.66361003861005,5141,17.785061272126047,73.31,91433,792
pg16771,105.46231361231362,108.8982338982339,103.95326504481434,115.48181499570389,104.38628799515897,96.32523148148148,4243,13.89606410558567,78.38,58961,208
pg16788,108.59085149211201,112.24813539873782,112.8484185340803,106.70089786756454,107.90427111648042,106.90692184046615,5152,24.96195652173913,57.47,128604,470
pg16798,105.85155961609449,108.8083028083028,109.0713213213213,108.82839382839381,100.61755615860093,99.48076923076923,10935,13.924919981710104,75.03,152269,468
pg16799,101.46199409056551,104.99965690874782,108.05889315363,99.29851505882434,103.11255411255411,119.36210847975555,4348,15.065777368905243,79.9,65506,553
pg16803,104.66873894693445,99.51485890652557,104.74397759103641,115.10654490106545,116.05111131152796,112.82356086373943,8578,11.72581021217067,78.38,100584,578
pg16836,109.8841937765205,115.12283549783548,119.48795180722891,104.85970464135022,115.86300505050504,108.1923906676382,5851,17.056913348145617,70.67,99800,379
pg16909,95.84631684388965,108.54239609596752,100.05099464028035,110.54661558109835,101.6279870922728,108.30663335292965,5534,13.760390314419949,76.56,76150,612
pg16919,110.17485782191665,112.16814626597235,106.97289055973268,101.41518540382177,105.27915804002761,103.8664756025867,2352,10.818452380952381,86.44,25445,226
pg16968,116.13263347763348,111.36717301610919,115.82742646761339,124.72017409114183,120.056786350904,117.8527803811309,6177,8.66164804921483,90.09,53503,284
pg1699,101.65233426704015,111.58755274261603,103.01791549953315,103.86062565692195,106.90749498086454,101.03648088023087,7253,11.522404522266648,80.62,83572,363
pg16993,104.91354404257629,107.88336511972875,115.5151996151996,119.9858016601136,105.19727891156462,110.98839039748131,8132,19.516601082144614,68.03,158709,518
pg17047,110.29606504606504,112.31700155636327,110.35557114280519,94.1252035002035,101.64723073430939,107.01242910835933,6148,14.928757319453482,77.67,91782,681
pg17048,105.7310405643739,107.52925315425314,114.13657770800627,118.10529071199802,110.96140763997906,116.75769745649262,2908,19.423658872077027,69.35,56484,331
pg17062,111.4617207762369,106.44401649548708,111.6510829654394,131.40610017222923,122.70039682539682,119.76184594391115,2070,28.53816425120773,58.39,59074,548
pg17084,102.44966796242308,119.78717850776674,103.86711309523808,104.50503663003663,115.80075187969925,101.66619425547998,4176,20.183908045977013,72.7,84288,1110
pg17141,99.79818594104309,106.5738775113775,100.69919432419432,117.0898455801053,122.56277700474129,116.73214285714283,7368,16.868213897937025,74.93,124285,643
pg17191,106.97070039461343,111.50383966968124,108.84433229813664,109.34948002189383,107.85628908128908,103.93762341459708,4622,21.225227174383384,56.42,98103,705
pg17241,106.34468272955115,102.38676710716183,101.13340949174284,112.08614996114996,108.51553631553632,107.82291666666666,1086,18.60681399631676,67.49,20207,202
pg17308,106.07854617604617,102.10524091293323,97.2876726448155,111.11522198731501,111.33700729095466,111.80486934563021,11246,15.73697314600747,72.7,176978,892
pg17359,116.33098591549296,110.55675805675807,120.42905982905982,112.29991582491583,103.64078282828282,107.9107905982906,6927,10.2855492998412,88.77,71248,384
pg17390,114.02035464535464,114.47409361471861,105.11042780748663,104.55988455988457,106.56371981432223,123.57668521954237,2306,10.223330442324372,79.9,23575,230
pg17402,110.87925925925926,113.94541343669249,109.1888927045177,104.1270587649898,107.84608378870675,113.73469920883714,8121,11.331855682797684,81.12,92026,441
pg17434,101.27886002886002,104.58567603748325,100.02164502164501,102.46457532981923,102.63671033151553,119.70969819654029,8155,13.07148988350705,75.54,106598,865
pg17446,115.74008230017844,100.65003336940836,104.88739435168006,109.7012536075036,109.22965571205008,103.26904761904763,5501,11.51445191783312,78.99,63341,144
pg1747,102.85058750773037,106.05318740399386,102.26593501984127,107.66782407407408,98.88020833333333,106.19501133786848,4083,13.634827332843498,68.54,55671,284
pg1748,107.75459605329736,107.7637960330268,106.96248196248197,101.22606837606838,92.76121794871794,102.347414234511,10141,14.533773789567103,49.25,147387,596
pg17559,103.07325182325182,102.18245748625496,102.64187675070029,104.10708371773944,101.62712121212121,106.01284699236506,1695,15.516224188790561,75.24,26300,221
pg17564,106.14259201307394,105.90243902439025,109.25112334922463,103.7634026601418,116.05436056998558,109.84978598180845,10857,14.184857695495994,75.84,154005,404
pg17642,107.89192079398265,111.20757244033106,104.94289264527359,104.2420091324201,100.47399376417235,109.58833807154701,11017,14.65653081601162,78.99,161471,815
pg17698,117.11158503805564,109.66487661424371,109.95372200263505,100.21813725490196,100.32359871031747,89.59539371304078,13838,12.809654574360456,78.99,177260,685
pg17745,100.84061528391426,124.35126517702275,116.60224478182224,108.8041351010101,124.86457523957523,122.77324334616002,5960,14.796979865771812,87.05,88190,365
pg17806,97.27137842316414,103.6741180275663,107.70217569786536,115.02746212121212,96.31847657762292,108.3126102292769,3441,17.42458587619878,72.29,59958,443
pg17938,108.90343915343914,114.21293046293046,113.85072254637471,107.42254733218589,116.92075790371246,104.41476709054834,6262,13.87639731715107,86.23,86894,453
pg18022,117.27585061137692,112.06814722568149,118.24425287356321,121.44113906926405,112.3461069993328,109.12357339630067,2158,20.330861909175162,74.22,43874,231
pg18052,111.92461852568236,115.65748917748917,110.46399184149185,105.27745825602967,108.30610119047618,103.68402065770488,5002,17.207916833266694,73.0,86074,360
pg18054,103.37776727491917,103.83801894146723,113.82838362617775,111.81850861556744,117.4755423484237,111.75002061430632,1726,22.799536500579375,70.36,39352,111
